"","...1","GISJOIN","FIPS","ADI_NATRANK","ADI_STATERNK","STATE"
"1",127691,"G36000100001001","360010001001","85","10","36"
"2",127692,"G36000100001002","360010001002","80","10","36"
"3",127693,"G36000100002001","360010002001","94","10","36"
"4",127694,"G36000100002002","360010002002","88","10","36"
"5",127695,"G36000100002003","360010002003","56","8","36"
"6",127696,"G36000100002004","360010002004","92","10","36"
"7",127697,"G36000100003001","360010003001","52","8","36"
"8",127698,"G36000100003002","360010003002","94","10","36"
"9",127699,"G36000100003003","360010003003","39","7","36"
"10",127700,"G36000100003004","360010003004","90","10","36"
"11",127701,"G36000100004011","360010004011","46","8","36"
"12",127702,"G36000100004031","360010004031","48","8","36"
"13",127703,"G36000100004032","360010004032","39","7","36"
"14",127704,"G36000100004033","360010004033","45","8","36"
"15",127705,"G36000100004034","360010004034","44","8","36"
"16",127706,"G36000100004041","360010004041","PH","PH","36"
"17",127707,"G36000100005011","360010005011","68","9","36"
"18",127708,"G36000100005012","360010005012","52","8","36"
"19",127709,"G36000100005013","360010005013","76","9","36"
"20",127710,"G36000100005014","360010005014","63","9","36"
"21",127711,"G36000100005021","360010005021","45","8","36"
"22",127712,"G36000100005022","360010005022","49","8","36"
"23",127713,"G36000100006001","360010006001","51","8","36"
"24",127714,"G36000100006002","360010006002","76","9","36"
"25",127715,"G36000100006003","360010006003","81","10","36"
"26",127716,"G36000100007001","360010007001","89","10","36"
"27",127717,"G36000100007002","360010007002","80","10","36"
"28",127718,"G36000100007003","360010007003","77","9","36"
"29",127719,"G36000100007004","360010007004","97","10","36"
"30",127720,"G36000100008001","360010008001","93","10","36"
"31",127721,"G36000100008002","360010008002","95","10","36"
"32",127722,"G36000100008003","360010008003","91","10","36"
"33",127723,"G36000100011001","360010011001","75","9","36"
"34",127724,"G36000100014001","360010014001","24","6","36"
"35",127725,"G36000100014002","360010014002","36","7","36"
"36",127726,"G36000100014003","360010014003","29","7","36"
"37",127727,"G36000100015001","360010015001","62","9","36"
"38",127728,"G36000100015002","360010015002","64","9","36"
"39",127729,"G36000100015003","360010015003","63","9","36"
"40",127730,"G36000100015004","360010015004","39","7","36"
"41",127731,"G36000100016001","360010016001","64","9","36"
"42",127732,"G36000100016002","360010016002","54","8","36"
"43",127733,"G36000100016003","360010016003","38","7","36"
"44",127734,"G36000100016004","360010016004","38","7","36"
"45",127735,"G36000100017001","360010017001","36","7","36"
"46",127736,"G36000100017002","360010017002","37","7","36"
"47",127737,"G36000100017003","360010017003","45","8","36"
"48",127738,"G36000100017004","360010017004","33","7","36"
"49",127739,"G36000100018011","360010018011","26","6","36"
"50",127740,"G36000100018012","360010018012","30","7","36"
"51",127741,"G36000100018013","360010018013","41","7","36"
"52",127742,"G36000100018014","360010018014","39","7","36"
"53",127743,"G36000100018015","360010018015","36","7","36"
"54",127744,"G36000100018021","360010018021","42","7","36"
"55",127745,"G36000100018022","360010018022","45","8","36"
"56",127746,"G36000100018023","360010018023","52","8","36"
"57",127747,"G36000100018024","360010018024","57","8","36"
"58",127748,"G36000100019011","360010019011","34","7","36"
"59",127749,"G36000100019012","360010019012","50","8","36"
"60",127750,"G36000100019013","360010019013","37","7","36"
"61",127751,"G36000100019021","360010019021","43","7","36"
"62",127752,"G36000100019022","360010019022","37","7","36"
"63",127753,"G36000100019023","360010019023","42","7","36"
"64",127754,"G36000100020001","360010020001","51","8","36"
"65",127755,"G36000100020002","360010020002","74","9","36"
"66",127756,"G36000100020003","360010020003","62","9","36"
"67",127757,"G36000100020004","360010020004","55","8","36"
"68",127758,"G36000100020005","360010020005","66","9","36"
"69",127759,"G36000100021001","360010021001","57","8","36"
"70",127760,"G36000100021002","360010021002","81","10","36"
"71",127761,"G36000100021003","360010021003","68","9","36"
"72",127762,"G36000100022001","360010022001","GQ","GQ","36"
"73",127763,"G36000100022002","360010022002","51","8","36"
"74",127764,"G36000100023001","360010023001","90","10","36"
"75",127765,"G36000100023002","360010023002","50","8","36"
"76",127766,"G36000100025001","360010025001","94","10","36"
"77",127767,"G36000100025002","360010025002","97","10","36"
"78",127768,"G36000100025003","360010025003","92","10","36"
"79",127769,"G36000100025004","360010025004","92","10","36"
"80",127770,"G36000100025005","360010025005","90","10","36"
"81",127771,"G36000100026001","360010026001","78","9","36"
"82",127772,"G36000100026002","360010026002","76","9","36"
"83",127773,"G36000100026003","360010026003","93","10","36"
"84",127774,"G36000100026004","360010026004","79","9","36"
"85",127775,"G36000100127001","360010127001","60","8","36"
"86",127776,"G36000100127002","360010127002","57","8","36"
"87",127777,"G36000100127003","360010127003","58","8","36"
"88",127778,"G36000100128001","360010128001","82","10","36"
"89",127779,"G36000100128002","360010128002","60","8","36"
"90",127780,"G36000100128003","360010128003","72","9","36"
"91",127781,"G36000100128004","360010128004","89","10","36"
"92",127782,"G36000100129001","360010129001","73","9","36"
"93",127783,"G36000100129002","360010129002","84","10","36"
"94",127784,"G36000100129003","360010129003","49","8","36"
"95",127785,"G36000100129004","360010129004","67","9","36"
"96",127786,"G36000100130001","360010130001","41","7","36"
"97",127787,"G36000100130002","360010130002","51","8","36"
"98",127788,"G36000100130003","360010130003","52","8","36"
"99",127789,"G36000100130004","360010130004","49","8","36"
"100",127790,"G36000100130005","360010130005","53","8","36"
"101",127791,"G36000100131001","360010131001","67","9","36"
"102",127792,"G36000100131002","360010131002","58","8","36"
"103",127793,"G36000100131003","360010131003","63","9","36"
"104",127794,"G36000100132001","360010132001","65","9","36"
"105",127795,"G36000100132002","360010132002","81","10","36"
"106",127796,"G36000100132003","360010132003","63","9","36"
"107",127797,"G36000100132004","360010132004","68","9","36"
"108",127798,"G36000100132005","360010132005","83","10","36"
"109",127799,"G36000100133001","360010133001","62","9","36"
"110",127800,"G36000100133002","360010133002","50","8","36"
"111",127801,"G36000100133003","360010133003","51","8","36"
"112",127802,"G36000100133004","360010133004","62","9","36"
"113",127803,"G36000100134001","360010134001","69","9","36"
"114",127804,"G36000100134002","360010134002","60","8","36"
"115",127805,"G36000100134003","360010134003","70","9","36"
"116",127806,"G36000100135031","360010135031","21","6","36"
"117",127807,"G36000100135032","360010135032","28","7","36"
"118",127808,"G36000100135033","360010135033","33","7","36"
"119",127809,"G36000100135051","360010135051","35","7","36"
"120",127810,"G36000100135052","360010135052","37","7","36"
"121",127811,"G36000100135061","360010135061","35","7","36"
"122",127812,"G36000100135062","360010135062","33","7","36"
